time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2012-02-07 09:30:00,0.0,0.0,14000000,14000000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2012-02-07 09:31:00,0.0,-40.09999999999999,13998002.0,13999959.9,0,0,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 0}",0,40.09999999999999,0,1
2012-02-07 09:32:00,-40.09999999999999,-50.70000000000001,13996795.0,13999949.3,329.67833333333357,1998.0,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 10.599999999627471}",0,50.70000000000001,0,2
2012-02-07 09:33:00,-50.70000000000001,-89.2999999999999,13996293.6,13999910.7,1015.625937499997,3205.0,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 49.20000000111759}",0,89.2999999999999,0,3
