time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2012-02-07 09:30:00,0.0,0.0,14000000,14000000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2012-02-07 09:31:00,0.0,-40.09999999999999,13998002.0,13999959.9,0,0,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 0}",0,40.09999999999999,0,1
2012-02-07 09:32:00,-40.09999999999999,-44.14999999999999,13999614.2,13999955.85,241.01074074074063,1998.0,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 4.050000000745058}",0,44.14999999999999,0,2
2012-02-07 09:33:00,-44.14999999999999,-79.84999999999991,13997702.2,13999920.15,818.8956857638864,1998.0,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 39.75}",0,79.84999999999991,0,3
2012-02-07 09:34:00,-79.84999999999991,-110.24999999999991,13997913.049999999,13999889.75,1135.1561736111087,2297.800000000745,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 70.15000000037253}",0,110.24999999999991,0,4
2012-02-07 09:35:00,-110.24999999999991,-177.99999999999991,13996370.399999999,13999822.0,2199.3741261574055,2297.800000000745,"{'maxPortfolioValue': 13999959.9, 'maxDrawdown': 137.90000000037253}",0,177.99999999999991,0,5
